Data;Nowe przypadki;srednia
2020-03-04;1;1
2020-03-05;0;1
2020-03-06;4;2
2020-03-07;1;2
2020-03-08;5;2
2020-03-09;6;3
2020-03-10;5;3
2020-03-11;9;4
2020-03-12;20;7
2020-03-13;17;9
2020-03-14;36;14
2020-03-15;21;16
2020-03-16;52;23
2020-03-17;61;31
2020-03-18;49;37
2020-03-19;68;43
2020-03-20;70;51
2020-03-21;111;62
2020-03-22;98;73
2020-03-23;115;82
2020-03-24;152;95
2020-03-25;150;109
2020-03-26;170;124
2020-03-27;168;138
2020-03-28;249;157
2020-03-29;224;175
2020-03-30;193;187
2020-03-31;256;201
2020-04-01;243;215
2020-04-02;392;246
2020-04-03;437;285
2020-04-04;244;284
2020-04-05;475;320
2020-04-06;311;337
2020-04-07;435;362
2020-04-08;357;379
2020-04-09;370;376
2020-04-10;380;367
2020-04-11;401;390
2020-04-12;318;367
2020-04-13;258;360
2020-04-14;270;336
2020-04-15;380;340
2020-04-16;336;335
2020-04-17;457;346
2020-04-18;334;336
2020-04-19;515;364
2020-04-20;306;371
2020-04-21;263;370
2020-04-22;313;361
2020-04-23;342;361
2020-04-24;381;351
2020-04-25;381;357
2020-04-26;344;333
2020-04-27;285;330
2020-04-28;316;337
2020-04-29;422;353
2020-04-30;300;347
2020-05-01;228;325
2020-05-02;270;309
2020-05-03;318;306
2020-05-04;313;310
2020-05-05;406;322
2020-05-06;311;307
2020-05-07;303;307
2020-05-08;337;323
2020-05-09;288;325
2020-05-10;345;329
2020-05-11;330;331
2020-05-12;556;353
2020-05-13;322;354
2020-05-14;411;370
2020-05-15;401;379
2020-05-16;241;372
2020-05-17;272;362
2020-05-18;356;366
2020-05-19;382;341
2020-05-20;471;362
2020-05-21;403;361
2020-05-22;471;371
2020-05-23;315;381
2020-05-24;361;394
2020-05-25;341;392
2020-05-26;443;401
2020-05-27;397;390
2020-05-28;352;383
2020-05-29;332;363
2020-05-30;412;377
2020-05-31;219;357
2020-06-01;375;361
2020-06-02;236;332
2020-06-03;292;317
2020-06-04;361;318
2020-06-05;362;322
2020-06-06;576;346
2020-06-07;575;397
2020-06-08;599;429
2020-06-09;400;452
2020-06-10;282;451
2020-06-11;359;450
2020-06-12;376;452
2020-06-13;440;433
2020-06-14;375;404
2020-06-15;396;375
2020-06-16;407;376
2020-06-17;450;400
2020-06-18;314;394
2020-06-19;352;391
2020-06-20;309;372
2020-06-21;311;363
2020-06-22;296;348
2020-06-23;300;333
2020-06-24;294;311
2020-06-25;289;307
2020-06-26;285;298
2020-06-27;319;299
2020-06-28;193;282
2020-06-29;247;275
2020-06-30;239;267
2020-07-01;382;279
2020-07-02;371;291
2020-07-03;259;287
2020-07-04;314;286
2020-07-05;231;292
2020-07-06;205;286
2020-07-07;257;288
2020-07-08;277;273
2020-07-09;262;258
2020-07-10;265;259
2020-07-11;305;257
2020-07-12;370;277
2020-07-13;299;291
2020-07-14;267;292
2020-07-15;264;290
2020-07-16;333;300
2020-07-17;353;313
2020-07-18;339;318
2020-07-19;358;316
2020-07-20;279;313
2020-07-21;399;332
2020-07-22;380;349
2020-07-23;418;361
2020-07-24;458;376
2020-07-25;584;411
2020-07-26;443;423
2020-07-27;337;431
2020-07-28;502;446
2020-07-29;512;465
2020-07-30;615;493
2020-07-31;657;521
2020-08-01;658;532
2020-08-02;548;547
2020-08-03;575;581
2020-08-04;680;606
2020-08-05;640;625
2020-08-06;726;641
2020-08-07;809;662
2020-08-08;843;689
2020-08-09;624;700
2020-08-10;619;706
2020-08-11;551;687
2020-08-12;715;698
2020-08-13;811;710
2020-08-14;832;714
2020-08-15;771;703
2020-08-16;594;699
2020-08-17;595;696
2020-08-18;597;702
2020-08-19;735;705
2020-08-20;767;699
2020-08-21;903;709
2020-08-22;900;727
2020-08-23;581;725
2020-08-24;548;719
2020-08-25;763;742
2020-08-26;729;742
2020-08-27;887;759
2020-08-28;791;743
2020-08-29;759;723
2020-08-30;631;730
2020-08-31;502;723
2020-09-01;550;693
2020-09-02;595;674
2020-09-03;612;634
2020-09-04;691;620
2020-09-05;567;593
2020-09-06;437;565
2020-09-07;302;536
2020-09-08;400;515
2020-09-09;421;490
2020-09-10;506;475
2020-09-11;594;461
2020-09-12;603;466
2020-09-13;502;475
2020-09-14;377;486
2020-09-15;605;515
2020-09-16;600;541
2020-09-17;837;588
2020-09-18;757;612
2020-09-19;1002;669
2020-09-20;910;727
2020-09-21;748;780
2020-09-22;711;795
2020-09-23;974;848
2020-09-24;1136;891
2020-09-25;1587;1010
2020-09-26;1584;1093
2020-09-27;1350;1156
2020-09-28;1306;1235
2020-09-29;1326;1323
2020-09-30;1552;1406
2020-10-01;1967;1525
2020-10-02;2292;1625
2020-10-03;2367;1737
2020-10-04;1934;1821
2020-10-05;2006;1921
2020-10-06;2236;2051
2020-10-07;3003;2258
2020-10-08;4280;2588
2020-10-09;4739;2938
2020-10-10;5300;3357
2020-10-11;4178;3677
2020-10-12;4394;4019
2020-10-13;5068;4423
2020-10-14;6526;4926
2020-10-15;8099;5472
2020-10-16;7705;5896
2020-10-17;9622;6513
2020-10-18;8536;7136
2020-10-19;7482;7577
2020-10-20;9291;8180
2020-10-21;10040;8682
2020-10-22;12107;9255
2020-10-23;13632;10101
2020-10-24;13628;10674
2020-10-25;11742;11132
2020-10-26;10241;11526
2020-10-27;16300;12527
2020-10-28;18820;13781
2020-10-29;20156;14931
2020-10-30;21629;16074
2020-10-31;21897;17255
2020-11-01;17171;18031
2020-11-02;15578;18793
2020-11-03;19364;19231
2020-11-04;24692;20070
2020-11-05;27143;21068
2020-11-06;27086;21847
2020-11-07;27875;22701
2020-11-08;24785;23789
2020-11-09;21713;24665
2020-11-10;25454;25535
2020-11-11;25221;25611
2020-11-12;22683;24974
2020-11-13;24051;24540
2020-11-14;25571;24211
2020-11-15;21854;23792
2020-11-16;20816;23664
2020-11-17;19152;22764
2020-11-18;19883;22001
2020-11-19;23975;22186
2020-11-20;22464;21959
2020-11-21;24213;21765
