Day,hotel
2020-03-04,56
2020-03-05,61
2020-03-06,68
2020-03-07,66
2020-03-08,57
2020-03-09,51
2020-03-10,44
2020-03-11,36
2020-03-12,40
2020-03-13,39
2020-03-14,45
2020-03-15,35
2020-03-16,37
2020-03-17,42
2020-03-18,41
2020-03-19,42
2020-03-20,42
2020-03-21,39
2020-03-22,33
2020-03-23,31
2020-03-24,34
2020-03-25,32
2020-03-26,31
2020-03-27,35
2020-03-28,34
2020-03-29,29
2020-03-30,28
2020-03-31,29
2020-04-01,29
2020-04-02,34
2020-04-03,34
2020-04-04,28
2020-04-05,24
2020-04-06,26
2020-04-07,22
2020-04-08,28
2020-04-09,30
2020-04-10,32
2020-04-11,22
2020-04-12,25
2020-04-13,37
2020-04-14,33
2020-04-15,35
2020-04-16,43
2020-04-17,50
2020-04-18,38
2020-04-19,25
2020-04-20,24
2020-04-21,19
2020-04-22,19
2020-04-23,17
2020-04-24,21
2020-04-25,21
2020-04-26,24
2020-04-27,19
2020-04-28,19
2020-04-29,22
2020-04-30,21
2020-05-01,30
2020-05-02,25
2020-05-03,29
2020-05-04,23
2020-05-05,23
2020-05-06,21
2020-05-07,25
2020-05-08,22
2020-05-09,26
2020-05-10,27
2020-05-11,21
2020-05-12,25
2020-05-13,25
2020-05-14,23
2020-05-15,24
2020-05-16,26
2020-05-17,29
2020-05-18,27
2020-05-19,28
2020-05-20,28
2020-05-21,30
2020-05-22,28
2020-05-23,32
2020-05-24,30
2020-05-25,29
2020-05-26,29
2020-05-27,32
2020-05-28,31
2020-05-29,35
2020-05-30,38
2020-05-31,39
2020-06-01,33
2020-06-02,39
2020-06-03,37
2020-06-04,39
2020-06-05,41
2020-06-06,45
2020-06-07,49
2020-06-08,41
2020-06-09,40
2020-06-10,35
2020-06-11,57
2020-06-12,51
2020-06-13,51
2020-06-14,56
2020-06-15,48
2020-06-16,49
2020-06-17,45
2020-06-18,46
2020-06-19,47
2020-06-20,49
2020-06-21,58
2020-06-22,45
2020-06-23,47
2020-06-24,46
2020-06-25,47
2020-06-26,47
2020-06-27,51
2020-06-28,49
2020-06-29,47
2020-06-30,53
2020-07-01,51
2020-07-02,54
2020-07-03,56
2020-07-04,64
2020-07-05,72
2020-07-06,63
2020-07-07,59
2020-07-08,64
2020-07-09,60
2020-07-10,60
2020-07-11,66
2020-07-12,69
2020-07-13,63
2020-07-14,64
2020-07-15,64
2020-07-16,66
2020-07-17,71
2020-07-18,75
2020-07-19,83
2020-07-20,69
2020-07-21,75
2020-07-22,74
2020-07-23,70
2020-07-24,77
2020-07-25,83
2020-07-26,80
2020-07-27,71
2020-07-28,74
2020-07-29,76
2020-07-30,70
2020-07-31,76
2020-08-01,80
2020-08-02,100
2020-08-03,84
2020-08-04,74
2020-08-05,72
2020-08-06,76
2020-08-07,79
2020-08-08,82
2020-08-09,83
2020-08-10,77
2020-08-11,78
2020-08-12,79
2020-08-13,76
2020-08-14,79
2020-08-15,82
2020-08-16,81
2020-08-17,72
2020-08-18,68
2020-08-19,70
2020-08-20,69
2020-08-21,68
2020-08-22,67
2020-08-23,77
2020-08-24,67
2020-08-25,60
2020-08-26,60
2020-08-27,58
2020-08-28,61
2020-08-29,60
2020-08-30,58
2020-08-31,72
2020-09-01,74
2020-09-02,64
2020-09-03,63
2020-09-04,76
2020-09-05,62
2020-09-06,68
2020-09-07,60
2020-09-08,68
2020-09-09,63
2020-09-10,64
2020-09-11,70
2020-09-12,69
2020-09-13,68
2020-09-14,65
2020-09-15,61
2020-09-16,64
2020-09-17,59
2020-09-18,66
2020-09-19,59
2020-09-20,63
2020-09-21,58
2020-09-22,59
2020-09-23,61
2020-09-24,60
2020-09-25,61
2020-09-26,57
2020-09-27,57
2020-09-28,53
2020-09-29,53
2020-09-30,53
2020-10-01,55
2020-10-02,53
2020-10-03,52
2020-10-04,49
2020-10-05,52
2020-10-06,57
2020-10-07,59
2020-10-08,48
2020-10-09,45
2020-10-10,40
2020-10-11,44
2020-10-12,39
2020-10-13,47
2020-10-14,44
2020-10-15,40
2020-10-16,35
2020-10-17,38
2020-10-18,38
2020-10-19,33
2020-10-20,42
2020-10-21,39
2020-10-22,32
2020-10-23,31
2020-10-24,32
2020-10-25,29
2020-10-26,30
2020-10-27,30
2020-10-28,29
2020-10-29,33
2020-10-30,32
2020-10-31,34
2020-11-01,31
2020-11-02,34
2020-11-03,37
2020-11-04,34
2020-11-05,30
2020-11-06,28
2020-11-07,27
2020-11-08,27
2020-11-09,28
2020-11-10,32
2020-11-11,34
2020-11-12,29
2020-11-13,30
2020-11-14,27
2020-11-15,30
2020-11-16,30
2020-11-17,36
2020-11-18,41
2020-11-19,48
