"","Country","Score"
"1","Singapore",595
"2","Korea, Rep. of",588
"3","Russian Federation",567
"4","Japan",562
"5","Chinese Taipei",558
"6","Finland",555
"7","Latvia",542
"8","Norway (5)",539
"9","United States",539
"10","Lithuania",538
"11","Sweden",537
"12","England",537
"13","Czech Republic",534
"14","Australia",533
"15","Hong Kong SAR",531
"16","Poland",531
"17","Hungary",529
"18","Ireland",528
"19","Turkey (5)",526
"20","Croatia",524
"21","Canada",523
"22","Denmark",522
"23","Austria",522
"24","Bulgaria",521
"25","Slovak Republic",521
"26","Northern Ireland",518
"27","Netherlands",518
"28","Germany",518
"29","Serbia",517
"30","Cyprus",511
"31","Spain",511
"32","Italy",510
"33","Portugal",504
"34","New Zealand",503
"35","Belgium (Flemish)",501
"36","TIMSS Scale Centerpoint",500
"37","Malta",496
"38","Kazakhstan",494
"39","Bahrain",493
"40","Albania",489
"41","France",488
"42","United Arab Emirates",473
"43","Chile",469
"44","Armenia",466
"45","Bosnia and Herzegovina",459
"46","Georgia",454
"47","Montenegro",453
"48","Qatar",449
"49","Iran, Islamic Rep. of",441
"50","Oman",435
"51","Azerbaijan",427
"52","North Macedonia",426
"53","Kosovo",413
"54","Saudi Arabia",402
"55","Kuwait",392
"56","Morocco",374
"57","South Africa (5)",324
"58","Pakistan",290
"59","Philippines",249
"60","Moscow City, Russian Fed.",595
"61","Dubai, UAE",545
"62","Ontario, Canada",524
"63","Madrid, Spain",523
"64","Quebec, Canada",522
"65","Abu Dhabi, UAE",418
