Dzień,wirus
2020-03-03,22
2020-03-04,53
2020-03-05,26
2020-03-06,33
2020-03-07,24
2020-03-08,28
2020-03-09,51
2020-03-10,66
2020-03-11,90
2020-03-12,100
2020-03-13,92
2020-03-14,83
2020-03-15,70
2020-03-16,59
2020-03-17,57
2020-03-18,47
2020-03-19,43
2020-03-20,39
2020-03-21,39
2020-03-22,41
2020-03-23,37
2020-03-24,36
2020-03-25,40
2020-03-26,35
2020-03-27,30
2020-03-28,32
2020-03-29,32
2020-03-30,29
2020-03-31,28
2020-04-01,25
2020-04-02,26
2020-04-03,24
2020-04-04,28
2020-04-05,27
2020-04-06,19
2020-04-07,19
2020-04-08,18
2020-04-09,17
2020-04-10,16
2020-04-11,16
2020-04-12,16
2020-04-13,16
2020-04-14,15
2020-04-15,13
2020-04-16,12
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,10
2020-04-21,10
2020-04-22,10
2020-04-23,10
2020-04-24,11
2020-04-25,9
2020-04-26,10
2020-04-27,9
2020-04-28,8
2020-04-29,7
2020-04-30,7
2020-05-01,8
2020-05-02,8
2020-05-03,8
2020-05-04,7
2020-05-05,7
2020-05-06,7
2020-05-07,7
2020-05-08,6
2020-05-09,7
2020-05-10,8
2020-05-11,8
2020-05-12,7
2020-05-13,6
2020-05-14,6
2020-05-15,7
2020-05-16,6
2020-05-17,6
2020-05-18,6
2020-05-19,5
2020-05-20,5
2020-05-21,6
2020-05-22,5
2020-05-23,5
2020-05-24,5
2020-05-25,5
2020-05-26,5
2020-05-27,5
2020-05-28,5
2020-05-29,4
2020-05-30,5
2020-05-31,5
2020-06-01,4
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,4
2020-06-09,6
2020-06-10,4
2020-06-11,4
2020-06-12,4
2020-06-13,4
2020-06-14,5
2020-06-15,5
2020-06-16,4
2020-06-17,5
2020-06-18,5
2020-06-19,4
2020-06-20,3
2020-06-21,3
2020-06-22,4
2020-06-23,4
2020-06-24,4
2020-06-25,6
2020-06-26,6
2020-06-27,4
2020-06-28,4
2020-06-29,3
2020-06-30,4
2020-07-01,4
2020-07-02,5
2020-07-03,4
2020-07-04,3
2020-07-05,3
2020-07-06,4
2020-07-07,4
2020-07-08,4
2020-07-09,3
2020-07-10,3
2020-07-11,4
2020-07-12,4
2020-07-13,3
2020-07-14,3
2020-07-15,3
2020-07-16,3
2020-07-17,4
2020-07-18,3
2020-07-19,3
2020-07-20,3
2020-07-21,3
2020-07-22,4
2020-07-23,4
2020-07-24,3
2020-07-25,4
2020-07-26,4
2020-07-27,3
2020-07-28,3
2020-07-29,3
2020-07-30,4
2020-07-31,5
2020-08-01,4
2020-08-02,5
2020-08-03,4
2020-08-04,5
2020-08-05,3
2020-08-06,7
2020-08-07,6
2020-08-08,4
2020-08-09,4
2020-08-10,5
2020-08-11,5
2020-08-12,5
2020-08-13,5
2020-08-14,4
2020-08-15,4
2020-08-16,4
2020-08-17,4
2020-08-18,3
2020-08-19,4
2020-08-20,4
2020-08-21,5
2020-08-22,5
2020-08-23,4
2020-08-24,4
2020-08-25,4
2020-08-26,4
2020-08-27,3
2020-08-28,4
2020-08-29,4
2020-08-30,3
2020-08-31,3
2020-09-01,4
2020-09-02,4
2020-09-03,5
2020-09-04,3
2020-09-05,2
2020-09-06,3
2020-09-07,4
2020-09-08,3
2020-09-09,3
2020-09-10,3
2020-09-11,3
2020-09-12,3
2020-09-13,3
2020-09-14,3
2020-09-15,3
2020-09-16,3
2020-09-17,4
2020-09-18,4
2020-09-19,4
2020-09-20,4
2020-09-21,3
2020-09-22,3
2020-09-23,4
2020-09-24,5
2020-09-25,4
2020-09-26,4
2020-09-27,4
2020-09-28,4
2020-09-29,4
2020-09-30,4
2020-10-01,4
2020-10-02,5
2020-10-03,5
2020-10-04,4
2020-10-05,5
2020-10-06,5
2020-10-07,6
2020-10-08,8
2020-10-09,7
2020-10-10,7
2020-10-11,7
2020-10-12,6
2020-10-13,6
2020-10-14,7
2020-10-15,8
2020-10-16,9
2020-10-17,7
2020-10-18,7
2020-10-19,7
2020-10-20,7
2020-10-21,6
2020-10-22,7
2020-10-23,8
2020-10-24,7
2020-10-25,6
2020-10-26,6
2020-10-27,6
2020-10-28,6
2020-10-29,5
2020-10-30,5
2020-10-31,4
2020-11-01,5
2020-11-02,5
2020-11-03,5
2020-11-04,5
2020-11-05,6
2020-11-06,7
2020-11-07,7
2020-11-08,5
2020-11-09,6
2020-11-10,4
2020-11-11,5
2020-11-12,4
2020-11-13,4
2020-11-14,4
2020-11-15,4
2020-11-16,5
2020-11-17,4
2020-11-18,4
