Day,PKP
2020-03-04,70
2020-03-05,77
2020-03-06,95
2020-03-07,71
2020-03-08,82
2020-03-09,66
2020-03-10,61
2020-03-11,66
2020-03-12,60
2020-03-13,51
2020-03-14,35
2020-03-15,37
2020-03-16,33
2020-03-17,28
2020-03-18,30
2020-03-19,26
2020-03-20,26
2020-03-21,23
2020-03-22,20
2020-03-23,21
2020-03-24,22
2020-03-25,19
2020-03-26,16
2020-03-27,15
2020-03-28,18
2020-03-29,14
2020-03-30,16
2020-03-31,14
2020-04-01,14
2020-04-02,13
2020-04-03,13
2020-04-04,16
2020-04-05,13
2020-04-06,15
2020-04-07,15
2020-04-08,17
2020-04-09,17
2020-04-10,15
2020-04-11,13
2020-04-12,12
2020-04-13,13
2020-04-14,16
2020-04-15,15
2020-04-16,15
2020-04-17,18
2020-04-18,15
2020-04-19,15
2020-04-20,19
2020-04-21,20
2020-04-22,15
2020-04-23,18
2020-04-24,19
2020-04-25,18
2020-04-26,19
2020-04-27,23
2020-04-28,20
2020-04-29,25
2020-04-30,25
2020-05-01,24
2020-05-02,25
2020-05-03,28
2020-05-04,26
2020-05-05,23
2020-05-06,24
2020-05-07,28
2020-05-08,30
2020-05-09,32
2020-05-10,32
2020-05-11,28
2020-05-12,26
2020-05-13,29
2020-05-14,30
2020-05-15,36
2020-05-16,39
2020-05-17,35
2020-05-18,39
2020-05-19,33
2020-05-20,32
2020-05-21,38
2020-05-22,45
2020-05-23,38
2020-05-24,41
2020-05-25,40
2020-05-26,40
2020-05-27,44
2020-05-28,41
2020-05-29,47
2020-05-30,46
2020-05-31,54
2020-06-01,57
2020-06-02,47
2020-06-03,53
2020-06-04,50
2020-06-05,55
2020-06-06,59
2020-06-07,59
2020-06-08,53
2020-06-09,52
2020-06-10,59
2020-06-11,66
2020-06-12,69
2020-06-13,72
2020-06-14,81
2020-06-15,69
2020-06-16,62
2020-06-17,58
2020-06-18,65
2020-06-19,68
2020-06-20,59
2020-06-21,63
2020-06-22,57
2020-06-23,66
2020-06-24,62
2020-06-25,72
2020-06-26,78
2020-06-27,78
2020-06-28,78
2020-06-29,65
2020-06-30,77
2020-07-01,76
2020-07-02,83
2020-07-03,91
2020-07-04,86
2020-07-05,95
2020-07-06,84
2020-07-07,77
2020-07-08,77
2020-07-09,83
2020-07-10,88
2020-07-11,82
2020-07-12,83
2020-07-13,78
2020-07-14,84
2020-07-15,80
2020-07-16,80
2020-07-17,96
2020-07-18,95
2020-07-19,98
2020-07-20,89
2020-07-21,87
2020-07-22,82
2020-07-23,92
2020-07-24,91
2020-07-25,93
2020-07-26,91
2020-07-27,80
2020-07-28,80
2020-07-29,89
2020-07-30,91
2020-07-31,93
2020-08-01,92
2020-08-02,100
2020-08-03,82
2020-08-04,78
2020-08-05,83
2020-08-06,83
2020-08-07,96
2020-08-08,90
2020-08-09,95
2020-08-10,86
2020-08-11,86
2020-08-12,87
2020-08-13,94
2020-08-14,88
2020-08-15,88
2020-08-16,100
2020-08-17,86
2020-08-18,83
2020-08-19,81
2020-08-20,85
2020-08-21,95
2020-08-22,75
2020-08-23,89
2020-08-24,79
2020-08-25,84
2020-08-26,78
2020-08-27,77
2020-08-28,81
2020-08-29,79
2020-08-30,97
2020-08-31,89
2020-09-01,84
2020-09-02,80
2020-09-03,81
2020-09-04,87
2020-09-05,73
2020-09-06,82
2020-09-07,76
2020-09-08,74
2020-09-09,73
2020-09-10,73
2020-09-11,89
2020-09-12,76
2020-09-13,83
2020-09-14,73
2020-09-15,71
2020-09-16,72
2020-09-17,69
2020-09-18,84
2020-09-19,82
2020-09-20,76
2020-09-21,69
2020-09-22,69
2020-09-23,62
2020-09-24,65
2020-09-25,72
2020-09-26,61
2020-09-27,69
2020-09-28,63
2020-09-29,61
2020-09-30,60
2020-10-01,66
2020-10-02,73
2020-10-03,68
2020-10-04,64
2020-10-05,60
2020-10-06,61
2020-10-07,54
2020-10-08,54
2020-10-09,66
2020-10-10,62
2020-10-11,55
2020-10-12,51
2020-10-13,47
2020-10-14,47
2020-10-15,50
2020-10-16,52
2020-10-17,42
2020-10-18,45
2020-10-19,40
2020-10-20,40
2020-10-21,36
2020-10-22,42
2020-10-23,45
2020-10-24,36
2020-10-25,37
2020-10-26,33
2020-10-27,33
2020-10-28,37
2020-10-29,32
2020-10-30,39
2020-10-31,32
2020-11-01,31
2020-11-02,32
2020-11-03,31
2020-11-04,29
2020-11-05,34
2020-11-06,39
2020-11-07,39
2020-11-08,42
2020-11-09,37
2020-11-10,35
2020-11-11,34
2020-11-12,34
2020-11-13,37
2020-11-14,38
2020-11-15,36
2020-11-16,30
2020-11-17,32
2020-11-18,33
2020-11-19,36
